# src_name=XTE_J1817-330
# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
53764.57647641702  0.01212962963  2.26408e+03  1.03932e+00  1.00000
53765.63110604664  0.00620370370  2.63756e+03  1.56857e+00  1.00000
53766.79675419479  0.01000000000  2.63068e+03  1.23385e+00  1.00000
53768.37480975036  0.21157407407  2.42555e+03  4.68050e-01  0.30284
53769.84888382442  0.50009259259  2.26064e+03  7.70490e-01  0.04407
53770.35221715776  0.00324074074  2.20414e+03  1.98393e+00  1.00000
53771.38268012072  0.01796296296  2.08179e+03  8.18950e-01  1.00000
53772.81925419479  0.01305555556  1.88783e+03  9.14769e-01  1.00000
53774.25656900961  0.40222222222  1.77441e+03  6.55627e-01  0.05939
53775.30860604664  0.01296296296  1.61036e+03  8.47887e-01  1.00000
53776.36536530590  0.01601851852  1.53278e+03  7.44145e-01  1.00000
53779.57277271331  0.47620370370  1.38049e+03  5.12104e-01  0.06397
53782.72443937998  0.45898148148  1.16175e+03  6.02532e+00  0.00040
53784.13082826887  0.10074074074  1.06253e+03  1.33971e+00  0.03401
53786.51305049109  0.39277777778  1.01343e+03  1.22804e+00  0.00990
53787.56703197257  0.39324074074  9.67024e+02  1.09945e+00  0.01177
53790.11703197257  0.00453703704  1.07650e+03  1.38648e+00  0.71429
53791.72323567627  0.04962962963  7.88929e+02  7.40180e-01  0.16791
53792.73693937997  0.01814814814  7.11571e+02  5.05562e-01  0.88776
53794.47712456516  0.43962962963  6.61529e+02  3.87044e-01  0.05813
53796.47397641702  0.47296296296  6.07656e+02  2.68196e-01  0.10337
53798.13036530591  0.50009259259  5.76862e+02  3.51989e-01  0.05388
53798.64027271331  0.00981481481  5.56068e+02  5.72600e-01  1.00000
53800.20323567628  0.47722222222  5.13005e+02  2.81715e-01  0.07839
53802.12518012072  0.50009259259  4.59641e+02  2.95048e-01  0.06110
53802.63536530590  0.01009259259  4.47118e+02  5.06335e-01  1.00000
53804.16582826887  0.44481481481  4.43779e+02  2.21368e-01  0.11782
53804.89036530590  0.04787037037  5.51101e+02  3.39406e-01  0.57834
53806.45786530591  0.49629629630  4.51473e+02  2.69675e-01  0.07239
53807.48601345405  0.33481481481  3.87401e+02  3.04579e-01  0.07218
53808.84925419479  0.08064814815  3.80355e+02  2.20036e-01  0.56372
53810.33462456516  0.50009259259  3.65293e+02  2.26762e-01  0.08221
53810.86786530590  0.03314814815  3.58602e+02  3.57872e-01  0.48883
53812.10388382442  0.23935185185  3.84858e+02  2.90006e-01  0.11064
53813.66758752812  0.24879629630  3.33652e+02  2.00064e-01  0.19390
