# src_name=XTE_J1748-2848
# time_[MJD]       half_width_[d]  count_rate    error       fracexp   
#
50968.89851345408  0.00009259259  7.48560e+02  6.83996e+00  1.00000
50970.88601345407  0.48203703704  1.09501e+03  4.44104e-01  0.06665
50972.28508752815  0.01833333333  8.80034e+02  5.28393e-01  0.99495
50973.91675419481  0.38148148148  7.66991e+02  2.69707e-01  0.15995
50975.59082826889  0.05259259259  7.48799e+02  5.74088e-01  0.25000
50977.56656900963  0.00740740741  8.04483e+02  9.31075e-01  0.72500
50979.21536530593  0.01083333333  7.70786e+02  7.01122e-01  0.83761
50982.88601345407  0.01388888889  6.39013e+02  5.17728e-01  0.99333
50986.95869863926  0.01935185185  5.13221e+02  4.03514e-01  0.94258
50991.49666160223  0.00972222222  4.03363e+02  4.89997e-01  1.00000
50996.77045789852  0.00740740741  2.73436e+02  4.62192e-01  1.00000
51002.69740234296  0.01361111111  1.99472e+02  2.91221e-01  1.00000
51007.29564308371  0.01518518518  1.51694e+02  2.69022e-01  0.79878
51012.27230975038  0.10518518518  6.79565e+01  7.89736e-02  0.59947
51024.46258752815  0.05250000000  4.10924e+01  8.14639e-02  0.68254
51030.80758752815  0.03879629630  3.53953e+01  8.93661e-02  0.66110
51038.43971715778  0.01074074074  3.26273e+01  1.44251e-01  0.84483
51045.70684678741  0.01027777778  3.22320e+01  1.35328e-01  0.99099
51050.15786530593  0.01055555556  3.05452e+01  1.33573e-01  0.93860
51070.35388382444  0.00231481481  2.18357e+01  2.33643e-01  1.00000
51082.29943938000  0.15379629629  2.16243e+01  3.77379e-02  0.57134
53998.23268012072  0.05129629630  6.99536e+01  1.04679e-01  0.72022
54000.22971715776  0.01851851852  7.51860e+01  1.53283e-01  1.00000
54001.69832826887  0.37398148148  7.51536e+01  1.16178e-01  0.08616
54003.17610604665  0.01861111111  7.27588e+01  1.50413e-01  1.00000
54005.00934678739  0.01870370370  6.95181e+01  1.46661e-01  1.00000
54007.13740234294  0.05157407407  6.38898e+01  9.92952e-02  0.72711
55301.30869863923  0.42879629630  2.92310e+01  9.15447e-02  0.04707
55302.31490234293  0.40907407408  2.70252e+01  5.10155e-02  0.14690
55303.45203197256  0.50009259259  2.29608e+01  4.87433e-02  0.11183
55304.31758752812  0.36546296296  2.09313e+01  7.03941e-02  0.06689
55305.61795789849  0.31268518518  1.79250e+01  5.02883e-02  0.13118
55306.66406900960  0.31268518518  1.64632e+01  4.48293e-02  0.15161
55307.64462456515  0.05120370370  1.50879e+01  5.17586e-02  0.63653
